UNITID,INSTNM,ADDR,CITY,STABBR,ZIP
430306,Cayce Reilly School of Massotherapy,215 67th Street,Virginia Beach,VA,23451
431266,Henrico County-Saint Marys Hospital School of Practical Nursing,7850 Carousel Lane,Henrico,VA,23294
432348,Appalachian School of Law,1169 Edgewater Drive,Grundy,VA,24614-2825
437051,ITT Technical Institute-Richmond,300 Gateway Centre Pky,Richmond,VA,23235-5139
437769,Richmond School of Health and Technology,"1601 Willow Lawn Drive,  Suite 320",Richmond,VA,23230
438498,Stratford University,7777 Leesburg Pike,Falls Church,VA,22043-2403
438647,Everest College-Chesapeake,825 Greenbrier Circle,Chesapeake,VA,23320
440341,The Art Institute of Washington,1820 N Fort Myer Dr,Arlington,VA,22209-1802
440378,Centura College-Richmond Westend,7001 W. Broad St.,Richmond,VA,23294
440536,DeVry University-Virginia,2450 Crystal Drive,Arlington,VA,22202-3843
441858,Career Training Solutions,"100 Riverside Parkway, Suite 123",Fredericksburg,VA,22406
441876,Rudy & Kelly Academy of Hair and Nails,"1920 Centerville Turnpike, Suite 114",Virginia Beach,VA,23464
441955,ITT Technical Institute-Springfield,7300 Boston Blvd,Springfield,VA,22153
441964,ITT Technical Institute-Chantilly,"14420 Albemarle Point Pl, Suite 100",Chantilly,VA,20151
442189,University of Phoenix-Northern Virginia Campus,11730 Plaza America Dr Ste 200,Reston,VA,20190-4750
442310,Everest College-Arlington,801 N Quincy St-Ste 500,Arlington,VA,22203
442639,Potomac College-Herndon,1029 Herndon Pkwy,Herndon,VA,20170
442806,Edward Via College of Osteopathic Medicine,2265 Kraft Dr,Blacksburg,VA,24060
444282,Empire Beauty School-Midlothian,10807 Hull Street Rd,Midlothian,VA,23112
444884,Tap This Valley Works CET,"108 N. Jefferson Street,  Suite 503",Roanoke,VA,24016
445470,Everest College-McLean,1430 Spring Hill Rd Suite 200,McLean,VA,22102-3000
445683,Wards Corner Beauty Academy-Virginia Beach,544 Newtown Rd #160,Virginia Beach,VA,23462
445762,Aviation Institute of Maintenance-Manassas,10640 Davidson Place,Manassas,VA,20109
445869,Institute for the Psychological Sciences,"2001 Jefferson Davis Highway, Suite 511",Arlington,VA,22202
446206,Culpeper Cosmetology Training Center,311 South East Street #120,Culpeper,VA,22701-1055
446756,University of Phoenix-Richmond Campus,6600 W Broad St,Richmond,VA,23230-1709
447069,Westwood College-Arlington Ballston,"4300 Wilson Boulevard, Suite 200",Arlington,VA,22203
448257,Avi Career Training,10130-B Colvin Run Rd,Great Falls,VA,22066
448628,Westwood College-Annandale,"7619 Little River Turnpike, 5th Floor",Annandale,VA,22003
449922,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,24631
449931,Averett University-Non-Traditional Programs,420 W Main St,Danville,VA,24541
449995,Paul Mitchell the School-Mclean,8090-L Tysons Corner Ctr,McLean,VA,22102
450599,Empire Beauty School-Richmond,9049 West Broad St. #3,Richmond,VA,23294
451592,Centura College-Alexandria,6295 Edsall Rd Ste 250,Alexandria,VA,22312
451608,Southeast Culinary & Hospitality College,100 Piedmont Ave,Bristol,VA,24201
451617,Dominion School of Hair Design,1755 George Washington Memorial Highway,Gloucester Point,VA,23062
455390,Global Health Nurse Training Services,25 S Quaker La 1st Fl,Alexandria,VA,22314
455983,Columbia College,8300 Merrifield Ave 3F,Fairfax,VA,22031
456010,The Art Institute of Washington-Northern Virginia,21000 Atlantic Blvd Ste 100,Sterling,VA,20166
458113,Bethel College,1705 Todds Ln,Hampton,VA,23666
458122,Institute of Advanced Medical Esthetics,8547 Mayland Dr Suite 108,Richmond,VA,23294-4701
458496,The Art Institute of Virginia Beach,4500 Main St Ste 100,Virginia Beach,VA,23462
459082,Virginia Tech Carilion School of Medicine,"2 Riverside Circle, Suite M140",Roanoke,VA,24016
459107,Bryant & Stratton College-Hampton,"4410 East Claiborne Square, Suite 233",Hampton,VA,23666
459259,South University�Richmond,2151 Old Brick Rd,Glen Allen,VA,23060
459268,South University�Virginia Beach,301 Bendix Rd Ste 100,Virginia Beach,VA,23452
459602,ITT Technical Institute�Salem,2159 Apperson Dr,Salem,VA,24153
460376,Virginia International University,"11200 Waples Mill Road, Suite 360",Fairfax,VA,22030
